t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
5.999999999999999778e-02,-3.707799524706351102e-02,2.047685560853034215e+00,-1.361402881589226510e+00,-6.744482692404896174e-01,1.724720957629515550e-01,1.568557835003521861e+00,-7.049726306977326384e-01,-6.483435962095799310e-01,-1.565441855656415804e+00,2.095025081299133340e+00,3.141592202300519165e+00,-3.261823656800615697e-03,-1.486655297905571160e+01,-2.583440794441615651e+01,-1.283170097933995990e+01,-5.454977580625131495e+00,-2.380758117009788233e+00,6.111154971751704863e-03
6.199999999999999956e-02,-3.842031567479891468e-02,2.046431602467504440e+00,-1.364537382433814283e+00,-6.702766497956845759e-01,1.787552808699058304e-01,1.568545232603930639e+00,-7.490315577344017761e-01,-6.760384673330535055e-01,-1.562551542122625703e+00,2.107428729947758761e+00,3.141592010624361997e+00,7.677939434122364737e-04,-1.366694770200991016e+01,-2.562730826325195466e+01,-1.272020702518669744e+01,-5.398853880101704306e+00,-2.172321226167202024e+00,6.095978456893177098e-03
6.400000000000000133e-02,-3.984964791034208142e-02,2.045122594878873379e+00,-1.367667560377977098e+00,-6.660815562083562957e-01,1.850384650743355786e-01,1.568540405535324478e+00,-7.923872438289483178e-01,-7.036627947527585025e-01,-1.558998627101076062e+00,2.120193544545193820e+00,3.141591995899486012e+00,4.981242344784890183e-03,-1.157718685049837859e+01,-2.538523813269531360e+01,-1.264551838767383529e+01,-5.357583730483807649e+00,-1.815396589370415148e+00,6.107191011600439888e-03
6.600000000000000311e-02,-4.136738162573164873e-02,2.043758099336919098e+00,-1.370791529902408268e+00,-6.618612861501506073e-01,1.913216488944325389e-01,1.568543720050095125e+00,-8.316331822294239506e-01,-7.305275370589430217e-01,-1.555435885798174489e+00,2.132114692065318895e+00,3.141592056527871435e+00,9.380116433029503722e-03,-9.331306688686316519e+00,-2.513335624317626582e+01,-1.258231121527211016e+01,-5.319343178579611475e+00,-1.432968562194404827e+00,6.126265908086347967e-03
6.800000000000000488e-02,-4.297364335595751234e-02,2.042337962159275211e+00,-1.373907698412441647e+00,-6.576145653488109089e-01,1.976048328758894246e-01,1.568555543194176005e+00,-8.637001027154100896e-01,-7.560112326394790028e-01,-1.552472403717901184e+00,2.142143659843841252e+00,3.141592085519614663e+00,1.396604671533967570e-02,-7.574106595138180076e+00,-2.489396051618522776e+01,-1.250726233622687644e+01,-5.273461098425831217e+00,-1.133082489864690068e+00,6.136525860898885479e-03
7.000000000000000666e-02,-4.465650385569561870e-02,2.040864446086386508e+00,-1.377016745427309674e+00,-6.533443975259037861e-01,2.038880170521748803e-01,1.568576247509054999e+00,-8.893021490212859037e-01,-7.802108780157023249e-01,-1.550199081206999674e+00,2.150832842515367549e+00,3.141592076312761161e+00,1.874041638691222034e-02,-5.975148739151816102e+00,-2.465880869819005028e+01,-1.242471173322767974e+01,-5.223360790069042636e+00,-8.603806270678637791e-01,6.144248212344072604e-03
7.200000000000000844e-02,-4.639935722517831568e-02,2.039340752610756535e+00,-1.380120238594535698e+00,-6.490554369848149374e-01,2.101712012569020849e-01,1.568606207719078771e+00,-9.106134811531790829e-01,-8.035014959306095994e-01,-1.548505229589228538e+00,2.159352198537966672e+00,3.141592061529556723e+00,2.370448253285576887e-02,-3.830743481161082986e+00,-2.440786164699902727e+01,-1.234967881459903083e+01,-5.177899620379009527e+00,-4.969658803478032572e-01,6.164471501401640186e-03
7.399999999999999634e-02,-4.818947286162134080e-02,2.037769415632668224e+00,-1.383219548628455531e+00,-6.447502556038637866e-01,2.164543853968755316e-01,1.568645800824390868e+00,-9.279870677900740050e-01,-8.259735661770709614e-01,-1.547401130938510949e+00,2.168083251391418997e+00,3.141592059442126494e+00,2.885719169656186106e-02,-1.151515181711963542e+00,-2.413487328782969854e+01,-1.228420265713452508e+01,-5.138757525132513493e+00,-4.460973890391744384e-02,6.193503362269901953e-03
7.599999999999999811e-02,-5.002075943452331114e-02,2.036151824780400243e+00,-1.386315706244845236e+00,-6.404278610461855425e-01,2.227375695047407733e-01,1.568695407704343570e+00,-9.386587160171222521e-01,-8.472303431568878329e-01,-1.547104540798141414e+00,2.176058092845040370e+00,3.141592063649920608e+00,3.419354361370333106e-02,8.300869568063096171e-01,-2.385720880232493712e+01,-1.220810403181309667e+01,-5.095330789839244368e+00,2.902247130946455367e-01,6.195616572242282349e-03
7.799999999999999989e-02,-5.188668814165395965e-02,2.034489415131017331e+00,-1.389409793210743871e+00,-6.360873018255902567e-01,2.290207536214976802e-01,1.568755407710001881e+00,-9.402524056185191936e-01,-8.669055317336331612e-01,-1.547788026054677246e+00,2.182326142225011090e+00,3.141592066114386572e+00,3.970782321510564483e-02,9.344530197576416120e-01,-2.359136488443350643e+01,-1.210250756249273962e+01,-5.037513441929556635e+00,3.098803537611757863e-01,6.136836602614988839e-03
8.000000000000000167e-02,-5.377116992491468711e-02,2.032785006084686596e+00,-1.392503632814078074e+00,-6.317310526858418429e-01,2.353039377533320264e-01,1.568826163414343666e+00,-9.364880764457812479e-01,-8.853198778824656889e-01,-1.549048226468533240e+00,2.187250376906091809e+00,3.141592065622709207e+00,4.539142550010222960e-02,-5.019766725706300559e-01,-2.332588326604143347e+01,-1.197912289611856984e+01,-4.970146738607281733e+00,7.027701356390488041e-02,6.026168213627734575e-03
8.200000000000000344e-02,-5.565319591850672459e-02,2.031042131501239023e+00,-1.395599428844992218e+00,-6.273633607721881278e-01,2.415871218883706151e-01,1.568908028612230998e+00,-9.342406740479733962e-01,-9.031493688781696560e-01,-1.550184215378626051e+00,2.191873412960972267e+00,3.141592064502802373e+00,5.123425175811952698e-02,-2.356818172412941781e+00,-2.303488690497275471e+01,-1.186548209789938113e+01,-4.905809279645339416e+00,-2.412037299710539928e-01,5.894912144030782508e-03
8.400000000000000522e-02,-5.752160634051286386e-02,2.029263357522565148e+00,-1.398698379584474960e+00,-6.229869846000327671e-01,2.478703060188715002e-01,1.569001342545234712e+00,-9.380778504770808102e-01,-9.207344096055960492e-01,-1.550825548859077863e+00,2.196695959378542451e+00,3.141592064272577201e+00,5.722773813024906175e-02,-3.793623782607933315e+00,-2.271403026892058108e+01,-1.177597732481722304e+01,-4.851710174217308769e+00,-4.842152630252191670e-01,5.769549437517705777e-03
