t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
9.199999999999999845e-02,9.035370046847081125e-06,2.084376061421663984e+00,-1.670005339854328197e+00,-4.047725872296774052e-01,-3.575986349987959911e-05,1.570795245561291020e+00,1.694658546972490558e-04,5.072498251141582815e-01,-7.780145692210103547e+00,7.471115720799356374e+00,-7.435205933472343112e-04,-4.534618018987891661e-05,4.744975206652395083e-03,-3.299968037430022605e+01,-1.536836220753568760e+01,-6.003605263573046358e+00,4.251132561339469179e-03,7.238247783256527949e-03
9.400000000000000022e-02,9.372789380001131089e-06,2.085366773969922427e+00,-1.685270955407440319e+00,-3.901139744462767123e-01,-3.721945515820372007e-05,1.570795144351678774e+00,1.697587483253070178e-04,5.123127756913060660e-01,-7.849159998125994520e+00,7.537813501942031813e+00,-7.497781525184754863e-04,-4.256122665404706744e-05,5.172015279359631207e-03,-3.299936024061686624e+01,-1.505973085907838538e+01,-5.869392795765406845e+00,4.476009150252510498e-03,7.068119201267241032e-03
9.600000000000000200e-02,9.711156535259405392e-06,2.086371035330064405e+00,-1.700693181085464412e+00,-3.753051815604499519e-01,-3.869396369251405755e-05,1.570795048088410972e+00,1.699761756347534724e-04,5.164404071306485378e-01,-7.913502911290186681e+00,7.600284944362088346e+00,-7.554228762287233190e-04,-3.962108158480805430e-05,5.594624223999812053e-03,-3.299919522885771528e+01,-1.476156613981915200e+01,-5.736247935819090316e+00,4.694881692578743194e-03,6.898560955979347528e-03
9.800000000000000377e-02,1.005027810769011632e-05,2.087387199593614184e+00,-1.716262747569787361e+00,-3.603545759547832628e-01,-4.018219843406939704e-05,1.570794957083843757e+00,1.701287553507599621e-04,5.195765348084998569e-01,-7.973156065271343351e+00,7.658508723637503124e+00,-7.604460137509643598e-04,-3.652623803967072709e-05,6.012210897331202869e-03,-3.299934981914513088e+01,-1.447436273656346728e+01,-5.604432032818795761e+00,4.907445472120440695e-03,6.729873630906902174e-03
1.000000000000000056e-01,1.038996069236147446e-05,2.088413620852098695e+00,-1.731970385541797164e+00,-3.452705250118627278e-01,-4.168296871412855114e-05,1.570794871650333047e+00,1.702271061984979750e-04,5.216649741011748498e-01,-8.028101093638129626e+00,7.712463515346260401e+00,-7.648388143581860265e-04,-3.327718907614399669e-05,6.424184156112069770e-03,-3.299998849160147785e+01,-1.419861533611683235e+01,-5.474206435849226615e+00,5.113395772679875557e-03,6.562357809563970114e-03
1.020000000000000073e-01,1.073002857923198558e-05,2.089448559570721287e+00,-1.747806795076125796e+00,-3.300614316494913658e-01,-4.319506928156506570e-05,1.570794792099413639e+00,1.702816922162058691e-04,5.226505226790862935e-01,-8.078320497197639227e+00,7.762126788410201428e+00,-7.685932084651102237e-04,-2.987479137747940899e-05,6.829909577976471698e-03,-3.300114601950680537e+01,-1.393472949361292557e+01,-5.345812308181860928e+00,5.312418946322304547e-03,6.396293223702573770e-03
1.040000000000000091e-01,1.107037684843651060e-05,2.090489901653228788e+00,-1.763762553802026734e+00,-3.147358409476581076e-01,-4.471723654696345299e-05,1.570794718739331630e+00,1.703023586015923465e-04,5.224819079783202813e-01,-8.123800246230944211e+00,7.807471184402756670e+00,-7.717038514620172063e-04,-2.632135634803897171e-05,7.228579598098389992e-03,-3.300233827096050021e+01,-1.368275418402790677e+01,-5.219410057725776042e+00,5.504165612806733408e-03,6.231876185517590781e-03
1.059999999999999970e-01,1.141091828030819857e-05,2.091535439348962910e+00,-1.779828208732817219e+00,-2.993023335322284595e-01,-4.624819233414867713e-05,1.570794651877511994e+00,1.702987958190308880e-04,5.211088400237231522e-01,-8.164527178517692718e+00,7.848468137879244466e+00,-7.741660800852465541e-04,-2.261955912700553016e-05,7.619343359544999451e-03,-3.300295136831103093e+01,-1.344264922392898676e+01,-5.095139900521618692e+00,5.688277457475863011e-03,6.069282149186882094e-03
1.079999999999999988e-01,1.175156565518020191e-05,2.092582964907261811e+00,-1.795994306881814495e+00,-2.837694900290675393e-01,-4.778665846694569547e-05,1.570794591821378594e+00,1.702806943328949744e-04,5.184810288401411338e-01,-8.200488131837536443e+00,7.885089083394992038e+00,-7.759752310711377386e-04,-1.877207485356181108e-05,8.001350005383484412e-03,-3.300237143390686612e+01,-1.321437442988335675e+01,-4.973142052610028507e+00,5.864396165672396827e-03,5.908686568888306921e-03
1.100000000000000006e-01,1.209223175338566799e-05,2.093630270577465868e+00,-1.812251395262335807e+00,-2.681458910640409643e-01,-4.933135676917942467e-05,1.570794538878355739e+00,1.702577446075581136e-04,5.145481844524208981e-01,-8.231669943970123526e+00,7.917305455505320388e+00,-7.771266411560305565e-04,-1.478157866689064961e-05,8.373748678681019672e-03,-3.299998459009645302e+01,-1.299788961845822577e+01,-4.853556730031653998e+00,6.032163422739035726e-03,5.750264898799732280e-03
1.120000000000000023e-01,1.243284550347719231e-05,2.094675064805825659e+00,-1.828589998954420537e+00,-2.524401648643344598e-01,-5.088100129384640774e-05,1.570794493351410859e+00,1.702390798538295027e-04,5.092624143430329875e-01,-8.258060174320524638e+00,7.945087358732926042e+00,-7.776165762870279347e-04,-1.065129712283383059e-05,8.735789774998573010e-03,-3.299566101738714963e+01,-1.279336762479790046e+01,-4.736612872394342588e+00,6.191295099226780743e-03,5.594286850099098284e-03
